pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type,year_month
2381,2023-01-11,Walking,24,"","",5366,18-25,Rabbit,2023-01
3856,2023-02-17,Walking,30,"","",7968,66+,Hamster,2023-02
2178,2023-05-23,Playing,40,"","",9442,36-45,Dog,2023-05
1006,2023-06-07,Playing,47,"","",4000,18-25,Cat,2023-06
9813,2022-07-03,Health,0,Injury,Physical therapy recommended for joint issues,7472,66+,Hamster,2022-07
2549,2023-12-22,Health,0,Injury,Physical therapy recommended for joint issues,8612,36-45,Dog,2023-12
8047,2023-09-21,Health,0,Dental Cleaning,"Cleaning done, no dental issues",4593,26-35,Rabbit,2023-09
9018,2022-04-03,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",5690,46-55,Rabbit,2022-04
9030,2023-03-17,Health,0,Annual Checkup,"All clear, healthy diet recommended",4500,18-25,Hamster,2023-03
8705,2023-03-21,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",8337,66+,Rabbit,2023-03
2783,2023-06-25,Health,0,Annual Checkup,Diet adjustment recommended for weight management,7419,26-35,Rabbit,2023-06
9968,2022-10-03,Health,0,Dental Cleaning,"Cleaning done, no dental issues",8847,56-65,Hamster,2022-10
1060,2022-08-02,Health,0,Dental Cleaning,"Cleaning done, no dental issues",1001,56-65,Rabbit,2022-08
5288,2023-09-11,Health,0,Annual Checkup,Diet adjustment recommended for weight management,290,56-65,Dog,2023-09
5699,2023-07-04,Walking,29,"","",4776,26-35,Fish,2023-07
4438,2022-09-26,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",6845,56-65,Cat,2022-09
5890,2022-09-28,Resting,73,"","",3438,46-55,Cat,2022-09
6897,2023-10-02,Health,0,Annual Checkup,"All clear, healthy diet recommended",9232,36-45,Cat,2023-10
9357,2022-04-27,Walking,54,"","",4945,56-65,Rabbit,2022-04
1417,2023-05-30,Walking,3,"","",1834,46-55,Rabbit,2023-05
9187,2022-08-17,Health,0,Injury,Physical therapy recommended for joint issues,8368,66+,Rabbit,2022-08
1956,2023-09-24,Health,0,Dental Cleaning,"Cleaning done, no dental issues",2818,56-65,Rabbit,2023-09
8510,2022-06-02,Health,0,Injury,"Sprain identified, rest and limited movement advised",2392,18-25,Cat,2022-06
9472,2022-05-10,Playing,35,"","",4878,46-55,Cat,2022-05
3300,2023-03-10,Playing,62,"","",264,66+,Hamster,2023-03
4726,2023-07-26,Health,0,Annual Checkup,"All clear, healthy diet recommended",1578,66+,Rabbit,2023-07
6896,2022-08-19,Resting,,"","",7961,56-65,Dog,2022-08
5563,2023-12-21,Playing,47,"","",4091,36-45,Rabbit,2023-12
4777,2022-07-06,Resting,40,"","",2269,36-45,Rabbit,2022-07
1888,2023-12-02,Playing,53,"","",360,36-45,Fish,2023-12
5445,2023-08-20,Resting,22,"","",8793,56-65,Hamster,2023-08
4073,2022-12-20,Playing,85,"","",5668,46-55,Hamster,2022-12
8940,2022-05-23,Health,0,Annual Checkup,Diet adjustment recommended for weight management,6792,66+,Fish,2022-05
3291,2023-04-06,Health,0,Annual Checkup,Diet adjustment recommended for weight management,9548,56-65,Fish,2023-04
2016,2023-12-06,Playing,73,"","",6230,56-65,Dog,2023-12
8631,2023-11-11,Walking,,"","",1052,66+,Hamster,2023-11
6851,2023-02-16,Resting,16,"","",4043,56-65,Dog,2023-02
1207,2023-09-23,Health,0,Annual Checkup,Diet adjustment recommended for weight management,7087,26-35,Rabbit,2023-09
637,2023-10-26,Playing,,"","",6918,56-65,Cat,2023-10
2060,2022-12-19,Playing,,"","",9346,46-55,Hamster,2022-12
1370,2022-08-06,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",3138,18-25,Hamster,2022-08
8177,2023-08-14,Health,0,Injury,"Sprain identified, rest and limited movement advised",8251,18-25,Dog,2023-08
8285,2022-08-01,Walking,32,"","",4725,18-25,Dog,2022-08
4934,2022-12-28,Resting,28,"","",8159,46-55,Cat,2022-12
8940,2022-11-28,Resting,36,"","",6792,66+,Fish,2022-11
5243,2023-07-03,Health,0,Annual Checkup,"All clear, healthy diet recommended",3974,46-55,Cat,2023-07
1001,2023-03-25,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",4166,46-55,Dog,2023-03
6121,2023-11-16,Health,0,Annual Checkup,"All clear, healthy diet recommended",9603,66+,Fish,2023-11
217,2023-05-20,Health,0,Annual Checkup,"All clear, healthy diet recommended",9887,26-35,Dog,2023-05
1993,2022-05-04,Playing,78,"","",1558,66+,Hamster,2022-05
8412,2022-04-04,Resting,38,"","",4116,18-25,Hamster,2022-04
9684,2023-01-11,Walking,38,"","",560,18-25,Hamster,2023-01
3784,2023-08-12,Playing,,"","",6405,46-55,Fish,2023-08
248,2022-07-20,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7635,66+,Dog,2022-07
6556,2022-04-06,Health,0,Dental Cleaning,"Cleaning done, no dental issues",1107,56-65,Dog,2022-04
2794,2023-04-11,Health,0,Annual Checkup,Diet adjustment recommended for weight management,9306,66+,Dog,2023-04
427,2022-11-08,Health,0,Annual Checkup,Diet adjustment recommended for weight management,6043,66+,Rabbit,2022-11
8691,2022-11-16,Health,0,Dental Cleaning,"Cleaning done, no dental issues",3447,26-35,Fish,2022-11
9472,2022-09-23,Health,0,Annual Checkup,"All clear, healthy diet recommended",4878,46-55,Cat,2022-09
6172,2023-04-04,Playing,71,"","",6541,18-25,Hamster,2023-04
8177,2022-04-02,Walking,51,"","",8251,18-25,Dog,2022-04
6338,2022-04-17,Health,0,Dental Cleaning,"Cleaning done, no dental issues",4094,46-55,Fish,2022-04
3228,2023-07-30,Health,0,Injury,Physical therapy recommended for joint issues,8432,66+,Fish,2023-07
3946,2023-09-02,Walking,10,"","",1722,66+,Cat,2023-09
3885,2022-09-11,Walking,,"","",3080,56-65,Cat,2022-09
6087,2023-01-27,Health,0,Dental Cleaning,"Cleaning done, no dental issues",3196,26-35,Hamster,2023-01
751,2023-09-26,Health,0,Annual Checkup,Diet adjustment recommended for weight management,7703,46-55,Fish,2023-09
5747,2023-03-19,Health,0,Dental Cleaning,"Cleaning done, no dental issues",8562,36-45,Dog,2023-03
2415,2022-04-23,Walking,83,"","",359,46-55,Rabbit,2022-04
6934,2023-12-03,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7906,26-35,Cat,2023-12
3530,2023-08-27,Playing,49,"","",8942,36-45,Hamster,2023-08
8840,2022-10-24,Playing,39,"","",3588,18-25,Fish,2022-10
5789,2023-06-17,Playing,29,"","",885,26-35,Hamster,2023-06
4834,2023-11-10,Health,0,Injury,"Sprain identified, rest and limited movement advised",5367,26-35,Dog,2023-11
9,2023-12-01,Health,0,Dental Cleaning,"Cleaning done, no dental issues",1451,46-55,Hamster,2023-12
5288,2022-05-23,Health,0,Dental Cleaning,"Cleaning done, no dental issues",290,56-65,Dog,2022-05
2735,2023-03-18,Health,0,Annual Checkup,"All clear, healthy diet recommended",2607,66+,Hamster,2023-03
5958,2022-06-22,Health,0,Annual Checkup,"All clear, healthy diet recommended",5210,36-45,Fish,2022-06
7716,2023-06-30,Health,0,Injury,"Minor surgery performed, recovery monitored",342,66+,Cat,2023-06
6778,2023-08-25,Health,0,Annual Checkup,Diet adjustment recommended for weight management,7271,36-45,Cat,2023-08
6689,2023-12-11,Health,0,Annual Checkup,Diet adjustment recommended for weight management,6660,66+,Fish,2023-12
6241,2022-05-18,Health,0,Annual Checkup,Diet adjustment recommended for weight management,3636,18-25,Hamster,2022-05
5288,2023-10-27,Resting,41,"","",290,56-65,Dog,2023-10
7172,2023-06-14,Playing,12,"","",5185,18-25,Rabbit,2023-06
4480,2023-02-11,Playing,,"","",9044,46-55,Hamster,2023-02
9379,2022-06-28,Playing,,"","",1903,46-55,Fish,2022-06
5404,2022-11-14,Walking,19,"","",2402,36-45,Rabbit,2022-11
7891,2023-02-28,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",6780,56-65,Dog,2023-02
2869,2022-04-04,Walking,,"","",4983,36-45,Cat,2022-04
6838,2023-05-07,Playing,79,"","",487,36-45,Rabbit,2023-05
2840,2023-12-03,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,8267,46-55,Fish,2023-12
9769,2023-06-25,Playing,85,"","",659,46-55,Hamster,2023-06
9968,2023-04-30,Health,0,Annual Checkup,"All clear, healthy diet recommended",8847,56-65,Hamster,2023-04
9271,2023-11-01,Resting,58,"","",6469,56-65,Rabbit,2023-11
3147,2022-11-22,Resting,69,"","",1961,18-25,Dog,2022-11
5975,2022-08-12,Resting,77,"","",5818,18-25,Cat,2022-08
3300,2022-09-09,Health,0,Dental Cleaning,"Cleaning done, no dental issues",264,66+,Hamster,2022-09
6089,2022-09-01,Walking,88,"","",4702,18-25,Fish,2022-09
3988,2022-06-17,Walking,,"","",9242,56-65,Cat,2022-06
8387,2022-10-29,Playing,,"","",160,36-45,Cat,2022-10
5501,2022-12-12,Playing,4,"","",7969,26-35,Rabbit,2022-12
7970,2022-07-19,Walking,29,"","",1419,36-45,Hamster,2022-07
9555,2022-05-10,Resting,55,"","",8413,26-35,Hamster,2022-05
6332,2022-06-22,Resting,84,"","",2456,26-35,Rabbit,2022-06
4238,2023-10-19,Resting,13,"","",7739,56-65,Cat,2023-10
8103,2022-08-19,Resting,8,"","",1336,26-35,Fish,2022-08
1207,2022-07-07,Health,0,Dental Cleaning,"Cleaning done, no dental issues",7087,26-35,Rabbit,2022-07
9186,2022-10-23,Health,0,Annual Checkup,Diet adjustment recommended for weight management,948,66+,Rabbit,2022-10
3828,2022-06-11,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7877,46-55,Fish,2022-06
4584,2022-04-17,Playing,,"","",9686,36-45,Hamster,2022-04
7022,2023-09-03,Playing,23,"","",7165,56-65,Dog,2023-09
4899,2022-07-26,Health,0,Injury,"Minor surgery performed, recovery monitored",6601,56-65,Dog,2022-07
7416,2023-01-27,Health,0,Dental Cleaning,"Cleaning done, no dental issues",8590,18-25,Hamster,2023-01
1949,2023-02-14,Health,0,Dental Cleaning,"Cleaning done, no dental issues",8827,46-55,Rabbit,2023-02
9659,2023-08-12,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,5015,18-25,Dog,2023-08
7716,2023-10-17,Playing,90,"","",342,66+,Cat,2023-10
9356,2022-06-22,Resting,14,"","",6362,18-25,Hamster,2022-06
7788,2022-11-12,Resting,,"","",7350,36-45,Dog,2022-11
5890,2022-09-18,Health,0,Injury,"Minor surgery performed, recovery monitored",3438,46-55,Cat,2022-09
1366,2023-07-14,Walking,,"","",818,56-65,Dog,2023-07
6467,2023-03-02,Walking,79,"","",7672,26-35,Fish,2023-03
9186,2022-05-15,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,948,66+,Rabbit,2022-05
1963,2023-10-08,Health,0,Annual Checkup,"All clear, healthy diet recommended",3173,66+,Dog,2023-10
4853,2023-03-02,Playing,89,"","",3162,56-65,Dog,2023-03
9721,2022-12-24,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",4991,26-35,Rabbit,2022-12
7010,2023-09-26,Walking,,"","",6873,36-45,Fish,2023-09
5940,2023-06-28,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7893,56-65,Fish,2023-06
4584,2023-07-04,Health,0,Annual Checkup,"All clear, healthy diet recommended",9686,36-45,Hamster,2023-07
9712,2023-12-06,Health,0,Dental Cleaning,"Cleaning done, no dental issues",3539,36-45,Cat,2023-12
7785,2022-09-22,Health,0,Dental Cleaning,"Cleaning done, no dental issues",1955,26-35,Rabbit,2022-09
658,2023-06-06,Playing,4,"","",6072,18-25,Dog,2023-06
454,2022-08-08,Health,0,Annual Checkup,Diet adjustment recommended for weight management,7985,26-35,Fish,2022-08
239,2023-10-15,Playing,,"","",1625,36-45,Fish,2023-10
8047,2023-08-09,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,4593,26-35,Rabbit,2023-08
6087,2023-05-02,Playing,19,"","",3196,26-35,Hamster,2023-05
5406,2022-11-02,Health,0,Annual Checkup,Diet adjustment recommended for weight management,9906,66+,Fish,2022-11
5863,2023-12-13,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,6864,36-45,Dog,2023-12
7785,2023-07-25,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,1955,26-35,Rabbit,2023-07
2448,2022-10-13,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",5266,26-35,Hamster,2022-10
9357,2023-11-20,Walking,46,"","",4945,56-65,Rabbit,2023-11
2342,2023-01-25,Resting,33,"","",4929,66+,Hamster,2023-01
8981,2023-03-27,Health,0,Annual Checkup,Diet adjustment recommended for weight management,2804,18-25,Rabbit,2023-03
5414,2023-06-05,Health,0,Injury,"Sprain identified, rest and limited movement advised",9435,26-35,Dog,2023-06
1585,2023-08-07,Health,0,Dental Cleaning,"Cleaning done, no dental issues",4135,18-25,Fish,2023-08
6102,2023-11-16,Health,0,Annual Checkup,Diet adjustment recommended for weight management,1403,46-55,Hamster,2023-11
6121,2022-11-23,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",9603,66+,Fish,2022-11
4073,2023-09-26,Resting,71,"","",5668,46-55,Hamster,2023-09
9419,2022-10-11,Playing,13,"","",4101,36-45,Hamster,2022-10
3220,2022-05-17,Walking,84,"","",2733,26-35,Fish,2022-05
6919,2023-06-11,Walking,1,"","",499,36-45,Hamster,2023-06
7485,2022-06-09,Walking,47,"","",6278,56-65,Dog,2022-06
1901,2022-09-12,Health,0,Annual Checkup,"All clear, healthy diet recommended",8648,56-65,Cat,2022-09
782,2023-09-24,Playing,66,"","",3884,26-35,Cat,2023-09
6534,2023-04-16,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",2761,26-35,Cat,2023-04
6409,2023-04-14,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",2533,26-35,Fish,2023-04
2415,2022-11-14,Health,0,Annual Checkup,Diet adjustment recommended for weight management,359,46-55,Rabbit,2022-11
538,2023-05-18,Resting,71,"","",5293,46-55,Fish,2023-05
4777,2022-08-14,Health,0,Dental Cleaning,"Cleaning done, no dental issues",2269,36-45,Rabbit,2022-08
9445,2023-07-01,Health,0,Annual Checkup,Diet adjustment recommended for weight management,3664,18-25,Dog,2023-07
7296,2023-02-25,Resting,6,"","",4562,26-35,Dog,2023-02
2783,2022-11-06,Health,0,Annual Checkup,Diet adjustment recommended for weight management,7419,26-35,Rabbit,2022-11
3830,2022-04-11,Playing,40,"","",4465,46-55,Dog,2022-04
5747,2023-10-05,Walking,48,"","",8562,36-45,Dog,2023-10
2178,2023-08-01,Resting,,"","",9442,36-45,Dog,2023-08
6901,2022-04-18,Resting,20,"","",5150,46-55,Dog,2022-04
1382,2023-10-26,Resting,23,"","",7965,36-45,Dog,2023-10
1207,2023-07-30,Playing,,"","",7087,26-35,Rabbit,2023-07
3147,2023-12-15,Walking,60,"","",1961,18-25,Dog,2023-12
9271,2023-07-22,Health,0,Dental Cleaning,"Cleaning done, no dental issues",6469,56-65,Rabbit,2023-07
5987,2022-08-20,Walking,25,"","",4121,66+,Hamster,2022-08
7833,2022-04-28,Health,0,Injury,Physical therapy recommended for joint issues,3276,46-55,Fish,2022-04
5503,2022-12-01,Playing,,"","",1269,46-55,Cat,2022-12
2060,2022-09-13,Resting,69,"","",9346,46-55,Hamster,2022-09
3723,2022-08-02,Health,0,Injury,"Minor surgery performed, recovery monitored",480,56-65,Dog,2022-08
7788,2023-04-06,Walking,34,"","",7350,36-45,Dog,2023-04
1956,2023-11-16,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",2818,56-65,Rabbit,2023-11
542,2023-03-28,Playing,62,"","",6776,18-25,Hamster,2023-03
9581,2023-02-11,Walking,65,"","",6128,66+,Rabbit,2023-02
5017,2023-06-17,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,7785,36-45,Cat,2023-06
8586,2023-01-19,Playing,34,"","",9364,66+,Hamster,2023-01
2178,2023-12-28,Health,0,Injury,"Minor surgery performed, recovery monitored",9442,36-45,Dog,2023-12
7416,2023-08-20,Health,0,Dental Cleaning,"Cleaning done, no dental issues",8590,18-25,Hamster,2023-08
7485,2022-08-11,Health,0,Annual Checkup,"All clear, healthy diet recommended",6278,56-65,Dog,2022-08
9558,2022-06-15,Health,0,Injury,Physical therapy recommended for joint issues,258,46-55,Rabbit,2022-06
5090,2023-01-03,Health,0,Injury,"Sprain identified, rest and limited movement advised",6530,26-35,Hamster,2023-01
7352,2023-12-07,Health,0,Dental Cleaning,"Cleaning done, no dental issues",7816,56-65,Hamster,2023-12
1366,2022-12-03,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,818,56-65,Dog,2022-12
4001,2023-04-12,Resting,32,"","",9753,46-55,Hamster,2023-04
637,2022-10-12,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",6918,56-65,Cat,2022-10
4777,2023-07-22,Walking,,"","",2269,36-45,Rabbit,2023-07
8631,2022-04-28,Resting,,"","",1052,66+,Hamster,2022-04
9930,2023-08-01,Resting,,"","",7016,18-25,Dog,2023-08
2060,2022-12-06,Walking,61,"","",9346,46-55,Hamster,2022-12
1297,2022-09-03,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",576,26-35,Fish,2022-09
9695,2023-05-14,Playing,31,"","",6402,66+,Fish,2023-05
6689,2022-12-27,Playing,62,"","",6660,66+,Fish,2022-12
3856,2023-10-29,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7968,66+,Hamster,2023-10
8676,2022-10-13,Health,0,Injury,"Sprain identified, rest and limited movement advised",3252,18-25,Fish,2022-10
5863,2023-06-25,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,6864,36-45,Dog,2023-06
8989,2023-02-06,Playing,77,"","",3803,36-45,Dog,2023-02
2735,2022-07-14,Resting,,"","",2607,66+,Hamster,2022-07
5643,2023-05-31,Walking,76,"","",3428,56-65,Rabbit,2023-05
5457,2022-11-23,Health,0,Injury,"Sprain identified, rest and limited movement advised",9437,18-25,Fish,2022-11
5406,2023-08-29,Walking,6,"","",9906,66+,Fish,2023-08
3420,2023-05-10,Health,0,Injury,Physical therapy recommended for joint issues,7822,66+,Fish,2023-05
4346,2023-03-25,Health,0,Annual Checkup,"All clear, healthy diet recommended",9867,46-55,Fish,2023-03
209,2023-11-15,Walking,61,"","",9137,56-65,Fish,2023-11
1239,2023-09-21,Playing,5,"","",785,36-45,Fish,2023-09
5501,2023-04-29,Health,0,Annual Checkup,Diet adjustment recommended for weight management,7969,26-35,Rabbit,2023-04
9581,2022-04-13,Health,0,Annual Checkup,Diet adjustment recommended for weight management,6128,66+,Rabbit,2022-04
9539,2023-09-06,Playing,49,"","",1495,56-65,Dog,2023-09
3821,2023-05-14,Resting,73,"","",9842,26-35,Hamster,2023-05
8840,2023-07-05,Playing,,"","",3588,18-25,Fish,2023-07
3057,2023-08-10,Health,0,Annual Checkup,Diet adjustment recommended for weight management,2385,26-35,Hamster,2023-08
4307,2022-04-17,Health,0,Dental Cleaning,"Cleaning done, no dental issues",2654,56-65,Hamster,2022-04
7113,2022-06-03,Health,0,Annual Checkup,"All clear, healthy diet recommended",8490,36-45,Rabbit,2022-06
4834,2023-05-12,Health,0,Annual Checkup,Diet adjustment recommended for weight management,5367,26-35,Dog,2023-05
6556,2023-09-03,Health,0,Injury,"Minor surgery performed, recovery monitored",1107,56-65,Dog,2023-09
9561,2023-10-29,Walking,1,"","",4850,66+,Fish,2023-10
9357,2022-11-21,Resting,11,"","",4945,56-65,Rabbit,2022-11
309,2022-08-06,Resting,37,"","",4240,66+,Rabbit,2022-08
7956,2023-06-26,Walking,27,"","",725,66+,Hamster,2023-06
9618,2023-08-11,Resting,,"","",4482,18-25,Fish,2023-08
751,2022-10-16,Playing,29,"","",7703,46-55,Fish,2022-10
1939,2023-01-19,Health,0,Annual Checkup,Diet adjustment recommended for weight management,8319,26-35,Cat,2023-01
2882,2022-09-13,Playing,66,"","",6343,56-65,Dog,2022-09
5863,2023-04-19,Playing,,"","",6864,36-45,Dog,2023-04
3828,2023-07-18,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,7877,46-55,Fish,2023-07
2805,2022-05-28,Health,0,Injury,"Sprain identified, rest and limited movement advised",6327,36-45,Rabbit,2022-05
2794,2022-09-01,Health,0,Annual Checkup,Diet adjustment recommended for weight management,9306,66+,Dog,2022-09
9581,2023-11-20,Health,0,Annual Checkup,"All clear, healthy diet recommended",6128,66+,Rabbit,2023-11
1735,2023-09-23,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,8142,56-65,Fish,2023-09
1441,2022-12-02,Resting,,"","",8360,18-25,Hamster,2022-12
2058,2023-08-29,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",4954,36-45,Fish,2023-08
1297,2023-11-04,Playing,64,"","",576,26-35,Fish,2023-11
6518,2023-09-22,Health,0,Injury,"Sprain identified, rest and limited movement advised",12,46-55,Dog,2023-09
2590,2023-01-13,Health,0,Injury,"Minor surgery performed, recovery monitored",1365,26-35,Dog,2023-01
7281,2022-07-10,Walking,20,"","",3985,18-25,Fish,2022-07
9988,2022-11-07,Playing,73,"","",5933,56-65,Rabbit,2022-11
2415,2022-10-28,Playing,68,"","",359,46-55,Rabbit,2022-10
3530,2023-03-01,Health,0,Annual Checkup,"All clear, healthy diet recommended",8942,36-45,Hamster,2023-03
9319,2023-09-09,Resting,82,"","",4311,36-45,Hamster,2023-09
2729,2023-09-04,Playing,50,"","",26,46-55,Rabbit,2023-09
4307,2023-10-16,Health,0,Injury,"Sprain identified, rest and limited movement advised",2654,56-65,Hamster,2023-10
1006,2023-05-16,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,4000,18-25,Cat,2023-05
9271,2023-10-27,Resting,80,"","",6469,56-65,Rabbit,2023-10
9236,2022-04-27,Health,0,Injury,Physical therapy recommended for joint issues,6204,66+,Fish,2022-04
5421,2022-09-19,Playing,,"","",4457,26-35,Rabbit,2022-09
4584,2023-12-03,Walking,73,"","",9686,36-45,Hamster,2023-12
4778,2023-05-13,Health,0,Annual Checkup,"All clear, healthy diet recommended",477,56-65,Cat,2023-05
1956,2023-09-01,Health,0,Annual Checkup,"All clear, healthy diet recommended",2818,56-65,Rabbit,2023-09
5747,2023-07-10,Resting,50,"","",8562,36-45,Dog,2023-07
9230,2022-07-18,Resting,43,"","",9136,46-55,Rabbit,2022-07
5925,2023-11-03,Walking,74,"","",8475,56-65,Hamster,2023-11
9,2023-08-02,Health,0,Injury,"Sprain identified, rest and limited movement advised",1451,46-55,Hamster,2023-08
1370,2022-10-11,Resting,72,"","",3138,18-25,Hamster,2022-10
7022,2023-06-26,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7165,56-65,Dog,2023-06
3884,2023-06-26,Health,0,Dental Cleaning,"Cleaning done, no dental issues",6355,66+,Rabbit,2023-06
8572,2023-07-21,Playing,4,"","",496,66+,Rabbit,2023-07
5691,2023-02-24,Walking,32,"","",5039,66+,Dog,2023-02
1939,2023-12-24,Health,0,Injury,"Sprain identified, rest and limited movement advised",8319,26-35,Cat,2023-12
9561,2022-11-10,Health,0,Annual Checkup,Diet adjustment recommended for weight management,4850,66+,Fish,2022-11
7482,2023-02-14,Health,0,Dental Cleaning,"Cleaning done, no dental issues",7022,26-35,Rabbit,2023-02
9539,2023-10-13,Health,0,Dental Cleaning,"Cleaning done, no dental issues",1495,56-65,Dog,2023-10
8047,2023-06-21,Health,0,Annual Checkup,Diet adjustment recommended for weight management,4593,26-35,Rabbit,2023-06
5610,2022-10-21,Health,0,Annual Checkup,"All clear, healthy diet recommended",9186,36-45,Fish,2022-10
4410,2022-11-18,Playing,6,"","",4424,56-65,Cat,2022-11
5984,2022-11-19,Playing,45,"","",2527,18-25,Fish,2022-11
2218,2022-06-03,Health,0,Annual Checkup,Diet adjustment recommended for weight management,2099,46-55,Rabbit,2022-06
3370,2023-06-20,Health,0,Dental Cleaning,"Cleaning done, no dental issues",13,66+,Hamster,2023-06
8705,2023-06-15,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",8337,66+,Rabbit,2023-06
5421,2022-04-17,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",4457,26-35,Rabbit,2022-04
1261,2023-11-08,Playing,,"","",683,46-55,Dog,2023-11
3484,2023-10-07,Playing,64,"","",472,36-45,Hamster,2023-10
3410,2022-07-04,Playing,10,"","",153,66+,Dog,2022-07
5404,2022-11-15,Walking,,"","",2402,36-45,Rabbit,2022-11
7833,2023-11-22,Health,0,Annual Checkup,Diet adjustment recommended for weight management,3276,46-55,Fish,2023-11
7956,2022-12-06,Health,0,Annual Checkup,"All clear, healthy diet recommended",725,66+,Hamster,2022-12
9305,2022-05-19,Walking,,"","",4495,18-25,Dog,2022-05
6683,2023-07-07,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,8303,66+,Cat,2023-07
4934,2023-08-17,Playing,38,"","",8159,46-55,Cat,2023-08
4747,2022-05-02,Health,0,Injury,Physical therapy recommended for joint issues,4090,18-25,Hamster,2022-05
1640,2023-08-05,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7642,36-45,Hamster,2023-08
8455,2023-11-01,Playing,10,"","",8397,18-25,Rabbit,2023-11
9930,2023-03-16,Resting,34,"","",7016,18-25,Dog,2023-03
7482,2023-01-21,Walking,90,"","",7022,26-35,Rabbit,2023-01
4098,2022-05-15,Walking,22,"","",2969,66+,Rabbit,2022-05
6075,2023-06-09,Resting,11,"","",655,26-35,Fish,2023-06
7022,2022-07-15,Walking,32,"","",7165,56-65,Dog,2022-07
